 Đường Nguyễn Ánh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh
 Đường Lê Văn Sỹ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh
 Đường Tân Thụy, Phường Phúc Đồng, Quận Long Biên, Hà Nội
 Đường Sáp Mai, Xã Võng La, Huyện Đông Anh, Hà Nội
 Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội
 Đường Lê Văn Thọ, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Phố Hoàng Cầu, Phường Quang Trung, Quận Đống Đa, Hà Nội
 Đường Phan Chu Trinh, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Sáp Mai, Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội
 Phố Đông Tác, Phường Kim Liên, Quận Đống Đa, Hà Nội
 Xã Đại Mạch, Huyện Đông Anh, Hà Nội
 Phố Thịnh Hào, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Hồ Chí Minh
 Đường Phú Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội
 Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội
 Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Hồ Chí Minh
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Đường Vân Trì, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội
 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Đường Phan Huy Ích, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Đường Giang Biên, Phường Giang Biên, Quận Long Biên, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Phố Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà Nội
 Đường Á Châu, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Chu Huy Mân, Phường Phúc Đồng, Quận Long Biên, Hà Nội
 Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh
 Đường Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội
 Đường Trường Chinh, Phường Khương Trung, Quận Thanh Xuân, Hà Nội
 Phố Đại La, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội
 TPHCM Đường Quang Trung, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Đường Nam Kỳ Khởi Nghĩa, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh
 Đường Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội
 Đường Trần Thái Tông, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội
 Phố Phương Liệt, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội
 Phố Khương Thượng, Phường Khương Thượng, Quận Đống Đa, Hà Nội
 Đường Đồng Giữa, Xã Diên Điền, Huyện Diên Khánh, Khánh Hòa
 Phố Phạm Ngọc Thạch, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Đường Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh
 Đường Trường Chinh, Phường Láng Hạ, Quận Đống Đa, Hà Nội
 Đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, Hồ Chí Minh
 Phố Thái Hà, Phường Kim Liên, Quận Đống Đa, Hà Nội
 Đường Mê Linh, Phường Phước Tiến, Thành phố Nha Trang, Khánh Hòa
 Đường Bùi Quang Là, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Đường Đình Quán, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội
 Phố Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội
 Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Đường ĐT 768B, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội
 Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Phố Cù Chính Lan, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội
 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh
 Đường Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội
 Phố Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội
 Đường Hoàng Hoa Thám, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh
 Đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội
 Đường Hoàng Diệu 2, Phường Linh Chiểu, Quận Thủ Đức, Hồ Chí Minh
 Đường Hoàng Hoa Thám, Phường 3, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Lương Ngọc Quyến, Phường Hàng Đào, Quận Hoàn Kiếm, Hà Nội
 Đường Thịnh Hào, Phường Kim Liên, Quận Đống Đa, Hà Nội
 Đường Thống Nhất, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội
 Phố Nguyễn Lương Bằng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Thổ Quan, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Kha Vạn Cân, Phường Linh Chiểu, Quận Thủ Đức, Hồ Chí Minh
 Phố Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà Nội
 Đường Xã Đàn 2, Phường Trung Phụng, Quận Đống Đa, Hà Nội
 Đường Lê Đức Thọ, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Đường Hồ Quý Ly, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Đường Đoàn Khuê, Phường Việt Hưng, Quận Long Biên, Hà Nội
 Đường Nguyễn Tư Giản, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Phường Bến Nghé, Quận 1, Hồ Chí Minh
 Đường Tô Ngọc Vân, Phường Tam Phú, Quận Thủ Đức, Hồ Chí Minh
 Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Đường ĐT 768B, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Phố Đình Ngang, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội
 Phố Đông Tác, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Huỳnh Mẫn Đạt, Phường 7, Quận 5, Hồ Chí Minh
 Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội
 Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Đường Trường Chinh, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Trần Hưng Đạo, Phường 11, Quận 5, Hồ Chí Minh
 Đường Đường số 23B, Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Đường D1, Phường 17, Quận Bình Thạnh, Hồ Chí Minh
 Đường Trường Chinh, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Đường số 23B, Xã Võng La, Huyện Đông Anh, Hà Nội
 Phố Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh
 Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội
 Đường ĐT 768B, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Xã Nam Hồng, Huyện Đông Anh, Hà Nội
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Xã Long Sơn, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Lê Văn Lương, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Phố Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội
 Đường ĐT 768B, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Lê Hồng Phong, Phường 7, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội
 Đường Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Đường số 23B, Xã Đại Mạch, Huyện Đông Anh, Hà Nội
 Phố Nguyễn Lương Bằng, Phường Quang Trung, Quận Đống Đa, Hà Nội
 Xã Hải Bối, Huyện Đông Anh, Hà Nội
 Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội
 Xã Kim Nỗ, Huyện Đông Anh, Hà Nội
 Đường Số 8, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội
 Đường Số 9, Phường 16, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Thái Sơn, Phường 7, Quận Gò Vấp, Hồ Chí Minh
 Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội
 Đường Phan Huy Ích, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, Hồ Chí Minh
 Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Hồ Chí Minh
 Đường Cầu Giấy, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
 Đường Vân Trì, Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Đường Phan Chu Trinh, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội
 Đường Trường Chinh, Phường Khương Trung, Quận Thanh Xuân, Hà Nội
 Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội
 Đường 2/9, Phường 10, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Xã Vân Canh, Huyện Hoài Đức, Hà Nội
 Đường Quang Trung, Phường 10, Quận Gò Vấp, Hồ Chí Minh
 Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Phố Tây Sơn, Phường Thịnh Quang, Quận Đống Đa, Hà Nội
 Tỉnh lộ 422, Xã Kim Chung, Huyện Hoài Đức, Hà Nội
 Đường An Thượng 6, Phường 13, Quận Bình Thạnh, Hồ Chí Minh
 Phố Hàng Da, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội
 Xã Bắc Hồng, Huyện Đông Anh, Hà Nội
 Đường Lê Lợi, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Hồ Tây, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Đường Bế Văn Đàn, Phường Quang Trung, Quận Hà Đông, Hà Nội
 Xã Nam Hồng, Huyện Đông Anh, Hà Nội
 Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội
 Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội
 Đường Quốc lộ 23B, Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Xã Đại Mạch, Huyện Đông Anh, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Thái Sơn, Phường 3, Quận Gò Vấp, Hồ Chí Minh
 Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Tây Sơn 2, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội
 Xã Kim Nỗ, Huyện Đông Anh, Hà Nội
 Đường Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội
 Đường Phạm Huy Thông, Phường 6, Quận Gò Vấp, Hồ Chí Minh
 Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh
 Đường Tân Thụy, Phường Phúc Đồng, Quận Long Biên, Hà Nội
 Đường Nguyễn Đỗ Cung, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng
 Đường Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Phố Chùa Hà, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội
 Đường Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội
 TPHCM Đường Phùng Văn Cung, Phường 4, Quận Phú Nhuận, Hồ Chí Minh
 Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Lò Sũ, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội
 Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Hồ Chí Minh
 Đường Huỳnh Văn Nghệ, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Đường Lê Lai, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội
 Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Oanh, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Phố Hàng Bông, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội
 Xã Hải Bối, Huyện Đông Anh, Hà Nội
 Đường Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Hồ Chí Minh
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Hoàng Hoa Thám, Phường Bưởi, Quận Tây Hồ, Hà Nội
 Đường Phan Huy Ích, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Văn Nghi, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Văn Lượng, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Xã Bắc Hồng, Huyện Đông Anh, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Lê Lợi, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Số 8, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Đường Thiên Biều, Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội
 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Đường Phan Huy Ích, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Sơn, Phường Gia Thụy, Quận Long Biên, Hà Nội
 Phố Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Khuất Duy Tiến, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội
 Đường Phan Huy Ích, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Xã Hải Bối, Huyện Đông Anh, Hà Nội
 Đường Lê Văn Sỹ, Phường 1, Quận 3, Hồ Chí Minh
 Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội
 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Phố Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội
 Phố Trịnh Công Sơn, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Kiệm, Phường 9, Quận Phú Nhuận, Hồ Chí Minh
 Đường Yên Bái, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội
 Xã Nam Hồng, Huyện Đông Anh, Hà Nội
 Đường Số 9, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Phạm Văn Đồng, Phường Linh Tây, Quận Thủ Đức, Hồ Chí Minh
 Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội
 Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội
 Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội
 Phố Hàng Thùng, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội
 Đường Thống Nhất, Phường 10, Quận Gò Vấp, Hồ Chí Minh
 Phố Châu Long, Phường Trúc Bạch, Quận Ba Đình, Hà Nội
 Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Văn Lượng, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Cơ Thạch, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội
 Đường Phạm Văn Chiêu, Phường 13, Quận Gò Vấp, Hồ Chí Minh
 Đường Miếu Đầm, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội
 Đường Bằng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội
 Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Phố Nhật Chiêu, Phường Nhật Tân, Quận Tây Hồ, Hà Nội
 Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa
 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Nguyễn Văn Nghi, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Đường Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức, Hồ Chí Minh
 Thành phố Hồ Chí Minh Đường Bình Quới, Phường 27, Quận Bình Thạnh, Hồ Chí Minh
 Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Phường Giang Biên, Quận Long Biên, Hà Nội
 Đường Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức, Hồ Chí Minh
 Đường Nguyễn Trãi, Phường Phước Tiến, Thành phố Nha Trang, Khánh Hòa
 Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Đường Cống Lở, Phường 15, Quận Tân Bình, Hồ Chí Minh
 Đường B7, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa
 Phố Lạc Trung, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội
 Đường Lê Lợi, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Thị Minh Khai, Phường Tân Lập, Thành phố Nha Trang, Khánh Hòa
 Phường Giang Biên, Quận Long Biên, Hà Nội
 Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội
 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Nguyễn Hoàng Tôn, Phường Phú Thượng, Quận Tây Hồ, Hà Nội
 Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Đường Quang Trung, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Đường Lê Văn Thọ, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Đồng Giữa, Xã Diên Điền, Huyện Diên Khánh, Khánh Hòa
 Đường Cầu Lớn-Nam Hồng, Xã Nam Hồng, Huyện Đông Anh, Hà Nội
 Đường Lâm Du Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Lê Lợi, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Quang Trung, Phường 12, Quận Gò Vấp, Hồ Chí Minh
 Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh
 Đường Đỗ Xuân Hợp, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh
 Đường Ngô Gia Tự, Phường Phước Tiến, Thành phố Nha Trang, Khánh Hòa
 Phố Lê Thanh Nghị, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội
 Đường Lê Quang Định, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Đường ĐT 768B, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Đường ĐT 768B, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội
 Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội
 Đường Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh
 Phố Xã Đàn, Phường Khâm Thiên, Quận Đống Đa, Hà Nội
 Phố Tràng Thi, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội
 Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội
 Đường Trừ Văn Thố, Xã Lai Uyên, Huyện Bàu Bàng, Bình Dương
 Đường Lương Khánh Thiện, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội
 Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Đường Nguyễn Oanh, Phường 17, Quận Gò Vấp, Hồ Chí Minh
 Phố Trịnh Công Sơn, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Đường ĐT 741, Thị trấn Tân Phú, Huyện Đồng Phú, Bình Phước
 Đường Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Hồ Chí Minh
 Phố Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội
 Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường DH502, Xã Phước Sang, Huyện Phú Giáo, Bình Dương
 Đường Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội
 Đường Số 8, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Phố Lý Thường Kiệt, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội
 Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh
 Xã Bắc Hồng, Huyện Đông Anh, Hà Nội
 Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Hồ Chí Minh
 Đường Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội
 Xã Đại Mạch, Huyện Đông Anh, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Xã Đất Cuốc, Huyện Bắc Tân Uyên, Bình Dương
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Linh Đông, Phường Linh Đông, Quận Thủ Đức, Hồ Chí Minh
 Phố Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội
 Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội
 Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Tam Trinh, Phường Mai Động, Quận Hoàng Mai, Hà Nội
 Đường Lê Lợi, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội
 Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, Hồ Chí Minh
 Đường Miếu Đầm, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội
 Đường ĐT 768B, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Lê Hoàng Phái, Phường 17, Quận Gò Vấp, Hồ Chí Minh
 Đường Cây Trâm, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Tam Trinh, Phường Mai Động, Quận Hoàng Mai, Hà Nội
 Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội
 Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Hồ Chí Minh
 Phố Hàng Muối, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội
 Xã Vân Canh, Huyện Hoài Đức, Hà Nội
 Phố Hoàng Cầu, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Lai Xá, Xã Đức Thượng, Huyện Hoài Đức, Hà Nội
 Đường Vân Lũng, Xã Vân Canh, Huyện Hoài Đức, Hà Nội
 Phố Tô Vĩnh Diện, Phường Khương Trung, Quận Thanh Xuân, Hà Nội
 Đường Lê Quang Định, Phường 1, Quận Gò Vấp, Hồ Chí Minh
 Đường Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội
 Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội
 Đường Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội
